"mz","mean_benign_epithelium","mean_tumour_epithelium","fc","log2fc","pvalue","pvalue_adj","mode"
286.2109,0.00943397816550945,0.00655615367330439,1.43895012771331,0.525016590863808,0.00321470993829789,0.00856787025130598,"negative"
286.2467,0.000288632414035063,0.000130996233165055,2.20336422705671,1.13970799941229,0.00215149527610407,0.00601496843066891,"negative"
286.772,0.0843216025286736,0.0520185131157005,1.6209921714049,0.696877123364645,0.118884043151488,0.178823424513951,"negative"
286.8618,9.1117112919548e-06,1.7286325e-05,0.527105170818829,-0.923837250139037,0.424228121621734,0.516924547552789,"negative"
286.924,0.0314308800362086,0.0289556901632246,1.08548198502716,0.118335782767761,0.134934589024207,0.198251302088642,"negative"
286.9351,0.2044146139674,0.106845713295163,1.91317562177438,0.935969313325171,4.69473252858592e-06,2.72358256642017e-05,"negative"
286.9724,9.29982905464665e-05,8.39118785026085e-05,1.10828517018095,0.148329145530966,0.767607164682559,0.820847696736924,"negative"
286.9779,0.0189257289251068,0.0153773999632802,1.23074960463405,0.299537276121565,0.0125848295079915,0.0272745949123373,"negative"
287.0083,0.00402727829494149,0.0090298715601551,0.445995080673364,-1.16490029758322,0.47286706540958,0.562270178004102,"negative"
287.0387,0.024211436887838,0.0164009499480865,1.47622161914241,0.561909323591217,0.0348697254647006,0.0643504933575839,"negative"
287.0719,0.00107125361232548,0.000596002658510691,1.79739737235797,0.845909398137673,5.05414104945162e-05,0.000219332914426321,"negative"
287.1494,0.235463743449264,0.260370701486955,0.904340396613558,-0.145062185000133,0.620701637793465,0.693591371405908,"negative"
287.1577,5.82132848794063e-05,2.89217120583843e-05,2.01278834260887,1.00919547175101,0.347605701224142,0.439042942368826,"negative"
287.1854,0.00329598148036159,0.00191103719658457,1.72470817745055,0.786352276928106,0.000116127553511819,0.000460727557581092,"negative"
287.2227,0.0420415303819583,0.0412840678217995,1.0183475757144,0.0262300566735961,0.42056847767692,0.513793787172005,"negative"
287.9814,0.0032069948138828,0.0194618743385294,0.164783450869055,-2.60135673433225,5.5846195328861e-06,3.19846391428931e-05,"negative"
287.9869,0.0247343334240747,0.0655801743632279,0.377161751462859,-1.40674471731749,0.233823873859825,0.315390341485345,"negative"
288.0411,0.0993070004741529,0.0558314637916308,1.77869240263479,0.830817040361855,3.74910836426135e-05,0.000167882867193762,"negative"
288.1204,0.0155085256908416,0.0066407735668226,2.33534926839283,1.22363833156079,3.93339483508916e-08,3.93770540477145e-07,"negative"
288.1538,0.00760002579802056,0.00926494762682994,0.820298840763222,-0.285778505224215,0.701667389895722,0.765341087366856,"negative"
288.2261,0.000869603555591162,0.000602811696029157,1.44257910276031,0.528650430157474,0.695002389025211,0.759658608883673,"negative"
288.7695,0.0146997745084589,0.00592458299755417,2.48114922426226,1.31100850614088,0.0499750877011133,0.0867913357698992,"negative"
