"mz","mean_gp4_non_cribriform","mean_benign_plus_gp3","fc","log2fc","pvalue","pvalue_adj","mode"
"294.9823",0.000458237045454545,0.000543312607095809,0.843413238474215,-0.245688428106448,0.438585506104679,0.681546907855757,"negative"
"295.0053",0.00105126832344877,0.00626150220331387,0.167893947700345,-2.57437787044968,0.0509690454834371,0.200212403850488,"negative"
"295.1177",0.000717175892857143,0.00101734130532084,0.704951120244708,-0.504404867199058,0.317951660578696,0.585566063367066,"negative"
"295.1408",2.16249060606061e-05,9.34601029987729e-05,0.23138114946107,-2.11165676149991,0.433025168812346,0.676185455914664,"negative"
"295.1552",0.113261693515584,0.182451049889565,0.620778524344695,-0.687849446120896,0.395880111940818,0.65071791679341,"negative"
"295.1826",0.111092539185137,0.0901799092460298,1.2318989907392,0.300883967450154,0.697128729325329,0.85930081587347,"negative"
"295.1912",0.147474525504329,0.197889792220517,0.745235637723001,-0.424231428207267,0.519178188649869,0.741625137344262,"negative"
"295.2259",0.0233303573762626,0.021031878897972,1.10928545611359,0.149630666786033,0.587515639922461,0.793948481130535,"negative"
"295.2648",0.53429840305303,0.327270193774145,1.63259109206187,0.707163490638198,0.0195561796762226,0.120097950482214,"negative"
"295.8398",0.00345766787489177,0.0111886386393725,0.309033832116477,-1.6941633060949,0.00096108097537796,0.0350353241881059,"negative"
"295.9759",0.00781462794736652,0.00728422113023324,1.07281585877889,0.101402468988652,0.871874114773347,0.949399032983454,"negative"
"296.0164",0.0516026635680014,0.0322971953949074,1.59774441517414,0.676036644529076,0.25108207019829,0.514845053032856,"negative"
"296.1584",0.00156960482186147,0.00918793568287299,0.170833240026629,-2.54933937896989,0.159107699090088,0.391920186460522,"negative"
"296.17",0.00119495049469697,0.0055123143377059,0.216778365943891,-2.20570730914957,0.00776697123416276,0.07508072193024,"negative"
"296.1845",0.00106146645562771,0.000551841209298563,1.9234997998372,0.943733679505133,0.779217711035299,0.905041804234896,"negative"
"296.1961",0.00419747995393218,0.0194850861285989,0.215420138573132,-2.21477496821093,0.417345552363638,0.668910213109743,"negative"
"296.2309",0.142263826487302,0.135650531739112,1.0487524424962,0.0686741706393987,0.45517981515466,0.692722634142078,"negative"
"296.2599",0.00511120681428571,0.0162300214927272,0.314922984949594,-1.66692903711983,0.00364977037851755,0.0509017594011569,"negative"
"296.2686",0.0681662860541126,0.0410314852841087,1.66131656171153,0.732327003159774,0.0239301315724009,0.130834848820268,"negative"
"296.6488",0.00117092235335498,0.00221399083093778,0.528874075263902,-0.919003836855203,0.183336196965049,0.429981042176052,"negative"
"296.8465",0.0147613010361111,0.0120325713452639,1.22677860056249,0.294874906139121,0.295620172718558,0.561148730964505,"negative"
"296.9192",0.0118895451880592,0.00813290474277098,1.46190636237653,0.547850907144442,0.0646929311929433,0.229953730457578,"negative"
"296.9542",0.00117442080194805,0.00632846748777482,0.185577441018188,-2.42990674923467,0.0241724484318807,0.131242387176957,"negative"
"296.9629",0.00769433537647908,0.0151011466693934,0.509519942089812,-0.972789481781754,0.0559597046433913,0.212425831284022,"negative"
"297.0881",3.67504545454545e-06,3.33270960494711e-05,0.11027199756889,-3.18086161490558,0.669476778185893,0.846588325335492,"negative"
