"mz","mean_gp4_non_cribriform","mean_gp3","fc","log2fc","pvalue","pvalue_adj","mode"
"302.0653",5.36453282593362,4.55134211116653,1.17867053165965,0.237160504774937,0.458701384249162,0.742941165503203,"negative"
"302.131",3.79178295454545e-05,3.54182687087912e-05,1.07057264309599,0.098382692293831,0.642888454735697,0.851946166530642,"negative"
"302.1445",0.0227480642672439,0.0719323759964343,0.316242358911813,-1.66089747324077,0.162134916735684,0.494341062312899,"negative"
"302.1699",0.144503814630736,0.210670190672647,0.685924354885477,-0.543878613021435,0.353107558892971,0.662031216235483,"negative"
"302.1968",0.000573350388528139,0.0017119613137033,0.334908495851389,-1.57816112055309,0.964686764412505,0.991930107095716,"negative"
"302.2206",0.693588818273088,0.590617480688811,1.17434522504174,0.231856583270293,0.256404942264375,0.570642050601827,"negative"
"302.5346",0.118104773190152,0.159752318255466,0.739299275778182,-0.43576959482161,0.08607727557827,0.413466174644434,"negative"
"302.7472",0.055294483879798,0.0228159349227605,2.42350287494193,1.27709379393902,0.130912832895969,0.476798512665282,"negative"
"302.8731",0,6.41592428571429e-06,0,-Inf,0.523194804263532,0.782592142775641,"negative"
"302.9",0.00825692479325397,0.00714221709234352,1.15607306337768,0.209232578497497,0.160220030450647,0.494341062312899,"negative"
"302.909",0.00861775311201299,0.0119893425196769,0.718784461939391,-0.476368872635607,0.671473127801026,0.862770578122486,"negative"
"302.963",0.0262903756195887,0.0511479959329086,0.514005976970713,-0.960142959406199,0.0457328432550155,0.335712262684499,"negative"
"302.969",0.000113380305194805,0.000107350592337104,1.05616841720599,0.0788399059979016,0.471871803746429,0.755202302171757,"negative"
"303.02",0.00775462743232323,0.0114217165751904,0.678937126593337,-0.558650115928199,0.558504665686731,0.805991077195952,"negative"
"303.035",0.0133112362071789,0.0170278633836291,0.781732617139541,-0.355252860616038,0.21917488836596,0.542130277541073,"negative"
"303.05",0.663295432142496,0.558144321897582,1.18839412338268,0.249013376166453,0.517508278166138,0.782170045995396,"negative"
"303.065",0.686110255016955,0.578561014236779,1.18589092270943,0.245971318060032,0.372896878272686,0.678858766895424,"negative"
"303.101",0.000561623343722944,0.000782687864930761,0.717557239465603,-0.478834174876852,0.710306351514074,0.882175889342355,"negative"
"303.137",0.00691281000010823,0.00612756853359968,1.12814894883717,0.173957558483482,0.714497152730288,0.882175889342355,"negative"
"303.146",0.00152900964036797,0.00508878460338744,0.300466567075791,-1.73472362374235,0.0414893843272571,0.32770681527596,"negative"
"303.1775",0.0087769165995671,0.0924165862571751,0.0949712270819316,-3.39636569563311,0.00464092541737629,0.210283375056896,"negative"
"303.2181",0.0228956815909091,0.0168448294045077,1.35921124762368,0.442769696145491,0.989218061327931,1,"negative"
"303.2331",66.3057264168831,52.6966850976756,1.25825232258884,0.331421260886126,0.151265472589279,0.489684158618023,"negative"
"303.4028",0.0675919910908369,0.0488804011249119,1.38280352728915,0.467596188779539,0.17980651305884,0.503457164170899,"negative"
"303.6569",0.00339313186637807,0.00511592844591729,0.663248499709944,-0.592378587853628,0.707395006392137,0.882063430915675,"negative"
"303.678",0.00099255345995671,0.0276386828668141,0.0359117496567998,-4.79940024549685,0.0015705091492064,0.201880859526167,"negative"
"303.9611",0.050117208510101,0.0427924761656298,1.17116869601377,0.227948897678196,0.917819440271777,0.972583338102556,"negative"
"304.0545",0.0363572032420274,0.0291505650422379,1.24722121815983,0.318717376985394,0.686711372139211,0.869070596440343,"negative"
"304.0636",1.70439098779004,1.44449726947274,1.17991984049382,0.238688851408956,0.493527308331947,0.76975215676031,"negative"
"304.0711",0.0446891209825758,0.0351147898187821,1.2726580797779,0.347844867890024,0.535693063080618,0.790890262813473,"negative"
"304.1088",1.72893863636364e-05,0.000137690866094261,0.125566690471685,-2.99347428881608,0.226437738522537,0.546724009257665,"negative"
"304.148",0.000402974257359307,0.000883721927891268,0.45599667117108,-1.13290480230108,0.108624766017845,0.453495333774949,"negative"
"304.1571",0.000183082016161616,0.000491030358345383,0.372852743318243,-1.42332213848574,0.21168768642191,0.533259462108523,"negative"
"304.2204",0.00163871370454545,0.00174550870098291,0.938817264916918,-0.0910837215169185,0.910873371581692,0.971722808651902,"negative"
"304.2355",14.2308087357143,11.3095442420923,1.25830081487718,0.331476860414602,0.151265472589279,0.489684158618023,"negative"
"304.6282",0.000606990777597403,0.000809794003181492,0.74956195676021,-0.415880362522828,0.175421073949747,0.501734587785567,"negative"
"304.7432",0.00765959752546898,0.00203314686618088,3.767360662861,1.91355415423403,0.273391535210043,0.58726759864293,"negative"
"304.8703",3.14131818181818e-06,1.94874235294118e-05,0.161197203780022,-2.63310137662746,0.260652535508874,0.575173261689581,"negative"
"304.8899",0.00095667750537518,0.0023100560118873,0.414136064429702,-1.27182325173441,0.885013573653738,0.963245596109925,"negative"
"304.8975",0.0541544056327201,0.0275713776479279,1.96415305481806,0.973907354715497,0.192314825260922,0.51260488929357,"negative"
"305.0035",0.0188998095021645,0.0099121613304955,1.9067294076437,0.931100118978591,0.0332382929669051,0.309537342933703,"negative"
"305.0474",0.179502099015873,0.151887355167727,1.18181068343478,0.240998945883527,0.632394972815057,0.845593131112605,"negative"
"305.0686",0.120812933857864,0.116695960507965,1.03527948467093,0.0500202911239141,0.659328611202745,0.860435653544515,"negative"
"305.0823",0.00441367466017316,0.00206411804968261,2.13828596714797,1.0964548071265,0.000990878946469601,0.201880859526167,"negative"
"305.105",0.000100703,0.00140825030731046,0.0715093044732419,-3.80572521859612,0.022211919857949,0.291446103983861,"negative"
"305.1762",0.107365103817821,0.110277117728735,0.973593670465009,-0.0386083060658211,0.333995724525099,0.645819667018526,"negative"
"305.1884",0.000750437484199134,0.000939422238598146,0.798828741077042,-0.324041854414713,0.561255565467166,0.807048991974292,"negative"
"305.2399",1.39253551229762,1.14827717068094,1.21271723226182,0.278243198298312,0.306603766115202,0.617447075456555,"negative"
"305.249",14.1846473648268,10.8658344915118,1.30543561802894,0.384531308021674,0.205425941716272,0.526729474499257,"negative"
"305.5708",0.00266177345800866,0.00484824680053638,0.549017731051599,-0.865075351691254,0.785005071698456,0.914450864081486,"negative"
"306.068",0.00942446440764791,0.00855231199042438,1.10197855482822,0.140096148460774,0.517486129008644,0.782170045995396,"negative"
"306.0756",2.25912675938672,1.72960501899525,1.30615182921884,0.38532260785648,0.08607727557827,0.413466174644434,"negative"
"306.2432",0.0842176599658009,0.0615562963804563,1.36814046519763,0.452216357446662,0.372896878272686,0.678858766895424,"negative"
"306.2523",3.04866924353175,2.33166984668549,1.30750468290589,0.386816113579681,0.1987913768912,0.516262056534135,"negative"
"306.8659",0,2.62625164835165e-06,0,-Inf,0.523194804263532,0.782592142775641,"negative"
