"mz","mean_gp4_cribriform","mean_gp3","fc","log2fc","pvalue","pvalue_adj","mode"
"421.308",0.15085415,0.245935169689916,0.613389903486364,-0.705123675119784,0.345678120558448,0.556323338521373,"negative"
"421.3301",0.000574159777777778,0.00858542563253085,0.0668760993749968,-3.90236548674077,0.0358563935568032,0.153773399087148,"negative"
"422.2291",1.81374572649573e-05,0.00137522612073765,0.0131887091086,-6.24455282713832,0.861612812004762,0.92742527846325,"negative"
"422.2982",0.00463259328205128,0.0111128987452714,0.416866326980841,-1.262343253947,0.365712496723763,0.572886068482166,"negative"
"422.313",0.0183160089615385,0.0325261166528226,0.563116991709768,-0.828493410902818,0.923326430388807,0.959980297441867,"negative"
"423.0147",0.00267052667948718,0.0113803568145541,0.234661067574955,-2.09134958952243,0.0243405132251324,0.136608017360439,"negative"
"423.0741",0.0261883502478632,0.047885473074364,0.546895510611201,-0.870662875622474,0.407933674120707,0.610894095866618,"negative"
"423.2523",0.0391020137948718,0.0212887428850487,1.83674602140709,0.877152149591077,0.0519260998174974,0.182253907779665,"negative"
"423.2672",0.000150710478632479,0.00969281541929219,0.0155486793169001,-6.00706414471628,0.0281291445962108,0.143615168487553,"negative"
"423.3093",0.00703761526923077,0.0237013530158142,0.296928840498476,-1.75181086675854,0.430048303329748,0.626548543126947,"negative"
"423.3464",0.000176690111111111,0.0146928814181934,0.0120255589140143,-6.37775224183028,0.024102686346571,0.136608017360439,"negative"
"423.3613",2.59686666666667e-05,2.22078292e-07,116.934736992063,6.86955975473246,0.00615301303813004,0.135825571218639,"negative"
"423.4207",0.000846656717948718,0.000780044771020258,1.08539503039208,0.118220208260324,0.822954639642938,0.908693096498275,"negative"
"424.0755",0.00425273524786325,0.00348583838237553,1.22000356337952,0.286885361609845,0.603258732422229,0.760323292279231,"negative"
"424.1004",0.0118493467222222,0.00851317455405152,1.39188344453515,0.47703840584793,0.307725597577053,0.518156330015441,"negative"
"424.1376",0.222391172568376,0.230229456412527,0.965954470091322,-0.0499729051239067,0.984645652273033,0.992548980232047,"negative"
