"mz","mean_gp4_cribriform","mean_benign_plus_gp3","fc","log2fc","pvalue","pvalue_adj","mode"
"495.3667",0.00613356811111111,0.014163021169868,0.433069190361753,-1.20733055580762,0.368472752840059,0.535789806386168,"negative"
"496.3242",0.000110362413752137,0.00129186960753586,0.0854284465772395,-3.54913964097928,0.246937638838711,0.408840114325623,"negative"
"497.0923",0.031901728957265,0.0679471961996802,0.469507658027766,-1.09077940536065,0.110245383304025,0.235301770206138,"negative"
"497.294",0.00910077193162393,0.0528329778364948,0.1722555173738,-2.53737790144784,0.376734779055147,0.54204288038166,"negative"
"497.3224",0.000181908401709402,0.00343227220933282,0.0529994098995901,-4.23787989311161,0.0220663789555291,0.0892598145579824,"negative"
"497.3413",0.123718378179487,0.60560394316793,0.204289254677427,-2.29131477251607,0.00730756903530625,0.0707994276177423,"negative"
"497.4549",0.0282946608760684,0.0113124967710676,2.50118620572194,1.32261246578427,0.475670342699425,0.629762127638744,"negative"
"498.0928",0.00754861929059829,0.0059579138184154,1.26699034606143,0.341405531785459,0.641782677761357,0.760923747859035,"negative"
"498.2983",0.00057095320774359,0.00755216743428029,0.0756012380170436,-3.72544633011111,0.28225165964177,0.45056686951989,"negative"
"498.3141",5.35318888888889e-05,0.000196432422064537,0.27252063751116,-1.87556260808908,1,1,"negative"
"498.3457",0.0111903861623932,0.155154695347655,0.0721240574596782,-3.79337562949505,0.0076534582596143,0.0707994276177423,"negative"
"498.9283",0.00106355609529915,0.00647253553919228,0.164318309086004,-2.60543485406426,0.312874222415771,0.479525016841752,"negative"
"499.0899",0.0120068789188034,0.0163073465328364,0.736286488707799,-0.441660867440553,0.630745419990959,0.751220262270849,"negative"
"499.3024",0.0114542344358974,0.00393123813487753,2.91364553428516,1.54282537395885,0.116759028156758,0.245125025847259,"negative"
"499.3373",0.0104000958760684,0.1380314828909,0.075345824432594,-3.73032862801545,0.00730756903530625,0.0707994276177423,"negative"
"499.3627",0.0360030557820513,0.0894506310977669,0.402490796769237,-1.31297229950403,0.0852259484564099,0.19774685485366,"negative"
"499.3786",0.00209007122649573,0.0141323612876091,0.147892569681773,-2.75737852353584,0.182319703594678,0.331202539842206,"negative"
"499.8041",0.00085128052991453,0.00721040064636842,0.118062861089874,-3.08237288585002,0.0743799587634488,0.182847759407914,"negative"
"500.0901",0.00250907961965812,0.00112372031723949,2.23283283319277,1.15887524410642,0.0437372333077356,0.131695829699456,"negative"
"500.2778",0.225196727094017,0.65079886970391,0.34603122036225,-1.53102588526288,0.0076534582596143,0.0707994276177423,"negative"
"500.3383",0.000250951305854701,0.0112718290275756,0.0222635834202922,-5.48917037038267,0.0100523566774052,0.0707994276177423,"negative"
"500.3701",0.000913956340790598,0.00293049291413669,0.311878024472155,-1.6809461936725,0.359908716302136,0.526579908885328,"negative"
"501.0869",0.000925762547008547,0.000298886607792754,3.09737045043672,1.63104394195553,0.372028166247475,0.538585942737034,"negative"
