"mz","mean_gp4_non_cribriform","mean_benign_epithelium","fc","log2fc","pvalue","pvalue_adj","mode"
"383.352",0.0363378381784632,0.0221337836758906,1.64173639313392,0.715222498096991,0.0185761403471364,0.0694371182679041,"negative"
"384.0701",0.0290814823349206,0.0639431230705014,0.454802345247611,-1.13668840119288,0.0108149713366705,0.0471879036099409,"negative"
"384.1429",0.0609663394141414,0.102073357360153,0.597279652505492,-0.743521520486723,0.083889533897947,0.204256327480437,"negative"
"384.2029",0.00332760914945887,0.00562881895593926,0.591173597073635,-0.758346257442432,0.429788655455275,0.626832336151223,"negative"
"384.2114",0.0167243322300866,0.0137411063901609,1.21710230277103,0.283450437975554,0.58610572591797,0.754619890169943,"negative"
"384.3185",1.55881590909091e-05,9.61582348025712e-05,0.162109455554318,-2.62495985175878,0.20728203694955,0.389400205215925,"negative"
"384.3571",0.00314678264902597,0.00317391581498801,0.991451201750877,-0.0123863287111198,0.204771379111758,0.385675645444115,"negative"
"384.7044",0.000648038351334776,0.000751327458360975,0.862524514608418,-0.213362633353961,0.655500719414717,0.804644875434365,"negative"
"384.7173",0,8.62036304473305e-05,0,-Inf,0.212093088744783,0.395387422203138,"negative"
"384.9019",0.00350888258748196,0.00258349479438776,1.35819224219242,0.441687696982147,0.250868539725135,0.44676953444885,"negative"
"385.0608",0.00318022550836941,0.003008014092175,1.05725086748842,0.0803177441176992,0.766839821143223,0.875429517603954,"negative"
"385.1468",0.00540752977417027,0.0075978795959193,0.711715644595707,-0.490627145933028,0.649505060248501,0.799132256407757,"negative"
"385.1726",0.000696126028787879,0.000894394693159798,0.778320839906308,-0.361563108409182,0.202754762688894,0.382271757015921,"negative"
"385.2242",0.0126665057862915,0.00794983345577622,1.59330454615854,0.672022051696478,0.250565792218493,0.44676953444885,"negative"
"385.2521",0.00958696690743146,0.0325503839055185,0.294526999597264,-1.76352820141013,0.00719988487771151,0.0348775943132929,"negative"
"385.2973",0.000544001066666667,0.000594268718317217,0.915412590127759,-0.127505960704989,0.580609810887076,0.749253367264877,"negative"
"385.3102",0.0706681696528499,0.00775311875176768,9.11480552735477,3.18821187538521,0.0141377975274535,0.057051090132884,"negative"
"385.3317",0.000674006923701299,0.000905348458865089,0.744472381988929,-0.425709765363619,0.794350053577417,0.892879777059011,"negative"
"386.0165",0.0487520999094156,0.0449729278666015,1.08403215494494,0.116407551056719,0.800778396828947,0.894052534730603,"negative"
"386.1136",0.0643826212452742,0.11910506932183,0.540553157072668,-0.887491597789143,0.0255359068895353,0.0878127419591176,"negative"
"386.7162",0,7.61312528138528e-05,0,-Inf,0.395835350895875,0.594893292786722,"negative"
"386.8979",0.000217196872727273,0.00034394918786239,0.631479533582067,-0.663192118242924,0.281955726685727,0.47782009923725,"negative"
"386.9845",0.0463549391154762,0.0721786769683922,0.642224837894653,-0.638849632853099,0.230680032604434,0.4208009385971,"negative"
"387.0581",0.000820505174170274,0.000565448426449561,1.45106986913415,0.537116986962582,0.529044142871026,0.710078700539222,"negative"
"387.1945",0.0521180259424242,0.0478619702371442,1.08892353750154,0.122902653834225,0.289225286175515,0.48697590830474,"negative"
"387.2314",0.0414312257486291,0.0182166461594428,2.27436078990604,1.1854611322077,0.083894986643115,0.204256327480437,"negative"
"387.2747",0.00522549533939394,0.00372809141461039,1.40165429391437,0.487130564786254,0.347162861624056,0.547400037086853,"negative"
"387.2921",0.0311888162126984,0.100010666204071,0.311854899047047,-1.68105317194759,0.00290517704066031,0.0186135202675288,"negative"
