"mz","mean_gp4_cribriform","mean_gp4_non_cribriform","fc","log2fc","pvalue","pvalue_adj","mode"
"403.2723",0.00462492602564103,0.00350565205923521,1.31927696973156,0.399747476576522,0.436274928840529,0.675376253477806,"negative"
"403.2838",0.000316711136837607,0.00420824513946609,0.0752596691355744,-3.73197924288176,0.53296606644339,0.732244703331422,"negative"
"403.3068",0.00106701404700855,0.00664926250685426,0.160471036586183,-2.63961516603931,0.275229679047409,0.530012193278663,"negative"
"403.3184",0.00673191198290598,0.00487663956443001,1.38044075104673,0.465128968327717,0.531606916893115,0.732244703331422,"negative"
"403.3345",0.0319231866367521,0.0729283987109668,0.437733272648308,-1.19187604570522,0.436274928840529,0.675376253477806,"negative"
"404.0125",0.00236383691880342,0.00609474489177489,0.387848377705442,-1.36643532774306,0.350201389179296,0.60063317395931,"negative"
"404.2944",0.00113848596153846,0.000842714354761905,1.3509749241902,0.434000896660504,1,1,"negative"
"404.9563",0.000104198888888889,0.00380701333225108,0.0273702453327833,-5.19124782343855,0.0833030232388252,0.266795344444591,"negative"
"405.0072",0.38685875982906,0.73546528813925,0.526005463572353,-0.926850310145826,0.0617066900283127,0.230167913159534,"negative"
"405.1881",0.000464170097478633,0.0355868451678211,0.0130433056172777,-6.26054664587372,0.0195174811821778,0.168179548692693,"negative"
"405.2414",0.00403661723931624,0.0553594186704185,0.0729165395205499,-3.77761009431931,0.0127313642699235,0.168179548692693,"negative"
"405.2762",0.0588355691196581,0.00977616505656566,6.01826675176114,2.58934805364932,0.0605640565520774,0.230167913159534,"negative"
"405.2994",0.000243853196581197,0.000360705,0.676046066955536,-0.564806537279489,0.467946687120261,0.716036522525483,"negative"
"405.3133",0.0141773719059829,0.0082610902004329,1.71616234201631,0.779186032408465,0.273638839463481,0.530012193278663,"negative"
"405.9917",0,0.0010248730972583,0,-Inf,0.0963775802407478,0.291578872200435,"negative"
"406.0103",0.0229458342179487,0.053197299761039,0.431334566247176,-1.21312075962842,0.0867681727038757,0.266795344444591,"negative"
"406.1918",0,0.000642967069444444,0,-Inf,0.204016261956153,0.452121712858634,"negative"
"406.3082",0.000247323871794872,0.000492950477272727,0.501721538364672,-0.995041222113198,0.867946469196901,0.942701659787267,"negative"
"406.3175",0.00147467425188034,0.000954154459090909,1.54552990643189,0.628101571014985,0.524153836980497,0.732244703331422,"negative"
"406.863",0.000192023769230769,0.0305450370120851,0.00628657837784891,-7.31350927557523,0.0292725091863045,0.176523596712015,"negative"
"407.0031",0.308017751709402,0.587697435243867,0.524109402624139,-0.932060103451059,0.0617066900283127,0.230167913159534,"negative"
"407.2554",0.0218107681794872,0.0529930442903319,0.411577943323901,-1.28076242536166,0.161124949289052,0.379317194639664,"negative"
"407.2811",0.00417734371367521,0.0125801827525974,0.33205747450789,-1.590495121354,0.533416513472694,0.732244703331422,"negative"
"407.3138",0.00139382563675214,0.000772768555411255,1.80367799257873,0.850941799804085,0.207843999541849,0.452121712858634,"negative"
"407.7653",0.0027756479957265,0.0050522405703824,0.549389514822017,-0.864098718253403,0.640428787412791,0.819382233913467,"negative"
"408.0066",0.0132837813974359,0.0293588549510101,0.452462516661566,-1.14412981488238,0.161124949289052,0.379317194639664,"negative"
"408.3254",0.00456209675213675,0.000793450909090909,5.74968999325206,2.52348417218662,0.0746461847029997,0.266795344444591,"negative"
"408.8585",0.000210363769094017,0.0465736051482684,0.00451680234811795,-7.79048250075803,0.0195174811821778,0.168179548692693,"negative"
"408.9385",0.000872183123931624,0.000528247639393939,1.65108759394038,0.723416660524456,0.264990958389897,0.530012193278663,"negative"
"408.9996",0.10418225158547,0.227093287671717,0.458764116956528,-1.12417554205453,0.0617066900283127,0.230167913159534,"negative"
"409.0231",0.000295148072222222,0.000426941022727273,0.691308767512746,-0.532597872168712,0.227434780170989,0.482102414873418,"negative"
"409.1643",0.00189454257692308,0.00456836270429293,0.414709317003827,-1.26982763519057,0.755236347536504,0.876876606538684,"negative"
"409.2349",0.183046231794872,0.0585382368339827,3.12695157378928,1.6447568768277,0.0292725091863045,0.176523596712015,"negative"
"409.2585",0.0195943749529915,0.0216654445107864,0.904406782110384,-0.14495628404479,1,1,"negative"
"409.2726",0.000529080076923077,0.00174549856085859,0.303111150468569,-1.72208116975352,0.581607441421935,0.793827561269023,"negative"
"409.2961",0.00182457784188034,0.00330975624945887,0.551272572467731,-0.859162270257045,0.636699456110265,0.819382233913467,"negative"
"409.3291",0.000184458358974359,8.12381696969697e-05,2.27058733182217,1.1830655270788,0.856009671526077,0.942701659787267,"negative"
"409.3432",0.00270595857264957,0.000593031603030303,4.56292473929303,2.18995885822272,0.144698008951518,0.374685068798427,"negative"
"410.0034",0.000926374260683761,0.00231025707936508,0.400983193151107,-1.31838632620141,0.212911902811505,0.452121712858634,"negative"
"410.2396",0.0168302115555556,0.00613537235725108,2.74314427479936,1.45583050226779,0.161124949289052,0.379317194639664,"negative"
"410.327",0.0287459468931624,0.0641374048660173,0.448193171413975,-1.15780742649921,1,1,"negative"
"410.3483",0.000111444358974359,1.31564242424242e-05,8.47071794895418,3.08248425261532,0.0511934126660965,0.229043960276538,"negative"
"410.3625",0.00215357890598291,0.00268442937012987,0.802248302729127,-0.317879262604477,0.276270337883509,0.530012193278663,"negative"
"410.7646",1.64974444444444e-05,0.0029528962991342,0.00558686888167443,-7.48374432260852,0.0833030232388252,0.266795344444591,"negative"
"410.8546",0,0.004571703877886,0,-Inf,0.0224378605557305,0.176523596712015,"negative"
"410.9351",0.00835058950427351,0.0128062843371573,0.652069662395701,-0.616901995117831,0.533416513472694,0.732244703331422,"negative"
"410.9967",0.00464107523076923,0.0120600249419553,0.384831312796338,-1.37770190238528,0.0617066900283127,0.230167913159534,"negative"
"411.1436",0,2.97768181818182e-06,0,-Inf,0.72772354666955,0.876876606538684,"negative"
"411.2171",0.000224664341205128,0.000512007814574315,0.438790844221616,-1.18839467200377,0.632851915589562,0.819382233913467,"negative"
"411.2289",0.00303272118376068,0.0491293226168831,0.0617293506651871,-4.01789957413133,0.0513683602186196,0.229043960276538,"negative"
"411.3309",0.00364365382905983,0.00627517378560606,0.580645883850677,-0.784269513642267,1,1,"negative"
"411.3475",0.00200006026923077,0.00193856485068543,1.03172213636474,0.0450544761242342,0.876134570482581,0.942701659787267,"negative"
"411.3855",0.00530637885470085,0.00223590035032468,2.37326267869242,1.24687179049128,0.207843999541849,0.452121712858634,"negative"
"411.8937",0,0.000532010713419914,0,-Inf,0.142747874831684,0.372248420909292,"negative"
"411.9317",6.99379230769231e-05,0.00826868272914863,0.00845816986427343,-6.88543875055641,0.0126334352801534,0.168179548692693,"negative"
"412.1029",0.00408199242307692,0.00528255744577922,0.772730342258454,-0.3719630465311,0.755236347536504,0.876876606538684,"negative"
"412.1363",0.417712664230769,0.322922346544012,1.29353904646496,0.371323603532623,0.275757847827509,0.530012193278663,"negative"
"412.1743",0.0754325513461538,0.00245353484632035,30.744438563521,4.94225355631563,0.0257910110333256,0.176523596712015,"negative"
"412.7627",4.76671538461539e-05,0.0167792441556277,0.00284084035037815,-8.45946652747097,0.111297388444239,0.316699961968571,"negative"
"412.932",0.00639555351709402,0.0110853851642857,0.576935615886299,-0.793517767046549,0.533416513472694,0.732244703331422,"negative"
"413.142",0.0385495483760684,0.0243066801781746,1.58596517885164,0.665361095853028,0.161124949289052,0.379317194639664,"negative"
"413.2137",3.11466666666667e-05,7.37697337662338e-05,0.422214708885438,-1.2439512555049,1,1,"negative"
"413.2471",1.29195650645299,4.95193900330628,0.260899115597019,-1.93843604121094,0.0867681727038757,0.266795344444591,"negative"
"413.2806",9.71952564102564e-05,4.35877272727273e-05,2.22987667611363,1.15696392374239,0.515723458502459,0.732244703331422,"negative"
"413.3642",0.036284081957265,0.0177628257534632,2.04269762372638,1.03047566073465,0.160664397848692,0.379317194639664,"negative"
"414.2498",0.319738301025641,1.23617245300036,0.258651857392221,-1.9509165432416,0.119470986771701,0.316699961968571,"negative"
"414.2858",0.000649615401709402,0.000243642114393939,2.6662689384605,1.41482230803927,0.339358654151673,0.60063317395931,"negative"
"414.3673",0.00559961126495727,0.0029524746038961,1.89658236435564,0.923402026030889,0.270428398896943,0.530012193278663,"negative"
"414.7609",4.71335128205128e-05,0.00709907378513708,0.0066393890593437,-7.23473379031972,0.0588551150657735,0.230167913159534,"negative"
"414.9291",0.000718197551282051,0.000989717216269841,0.725659349434049,-0.462635640629718,0.636699456110265,0.819382233913467,"negative"
"415.0493",0.000110778222222222,0.0009365540498557,0.118282785963384,-3.07968796552325,0.50600581256746,0.732244703331422,"negative"
"415.1984",0.000861505264957265,0.00243348286926407,0.354021503844734,-1.4980911002629,0.350201389179296,0.60063317395931,"negative"
"415.2321",0.000355946132478632,0.00323710333192641,0.109958223751482,-3.18497258781314,0.435770123435134,0.675376253477806,"negative"
"415.2441",0.524584513717949,1.77721771130952,0.295171779112765,-1.76037330059036,0.0617066900283127,0.230167913159534,"negative"
"415.261",0.559570209358974,1.76632948869228,0.316798317041776,-1.65836342361736,0.0867681727038757,0.266795344444591,"negative"
"415.2754",0.00027944907457265,0.00164804486096681,0.16956399743191,-2.56009821177984,0.528852914856611,0.732244703331422,"negative"
"415.3211",0.0123348991965812,0.0677716446718975,0.182006785526573,-2.45793585730377,0.533416513472694,0.732244703331422,"negative"
"416.2468",0.100994914978632,0.415815672340368,0.242883858634271,-2.04166147910901,0.161124949289052,0.379317194639664,"negative"
"416.2638",0.126336169136752,0.441406707213564,0.286212617688266,-1.80484082018465,0.161124949289052,0.379317194639664,"negative"
"416.329",0.00472110796153846,0.0191924876532468,0.245987286631903,-2.0233443402459,0.875726620572166,0.942701659787267,"negative"
"416.5972",0.0001377245,0,Inf,Inf,0.0817227522986593,0.266795344444591,"negative"
"416.8681",0.00066445255982906,0.000205923604040404,3.22669449636618,1.69005698983543,0.0963775802407478,0.291578872200435,"negative"
"416.8972",0,3.8176898989899e-05,0,-Inf,0.72772354666955,0.876876606538684,"negative"
"416.9601",8.74933076923077e-05,0.000193253613636364,0.452738275088298,-1.14325081581242,0.84537181660682,0.942701659787267,"negative"
"417.0255",0.00851628479487179,0.0304790324734848,0.279414538577644,-1.83952100546362,0.0429601460284251,0.195701251207195,"negative"
"417.2411",0.0201832571282051,0.0255370455191198,0.790352083332967,-0.339432611569791,0.275757847827509,0.530012193278663,"negative"
"417.2629",0.575559563717949,0.630354310542713,0.913073098877379,-0.13119773066216,0.755496874928883,0.876876606538684,"negative"
"417.2774",0.111848655470085,0.290396242130411,0.385158756358343,-1.37647487037415,0.275757847827509,0.530012193278663,"negative"
"417.2992",0.000553773371794872,0.00113422135772006,0.488241001657766,-1.03433463957887,0.53296606644339,0.732244703331422,"negative"
"417.338",0.00970223196581197,0.0399118874345238,0.24309128406239,-2.04042992782837,0.436274928840529,0.675376253477806,"negative"
"417.833",3.38280256410256e-05,0.00429662639249639,0.00787315967245901,-6.98884154740924,0.151815017636664,0.379317194639664,"negative"
"418.2681",0.148122392974359,0.130281908008586,1.13693754749583,0.185153008502257,0.755496874928883,0.876876606538684,"negative"
"418.2802",0.0172980606324786,0.0586703432621212,0.294834829160555,-1.7620211332455,0.755496874928883,0.876876606538684,"negative"
"418.3289",0.000154270564102564,0.00076698594047619,0.201138711886666,-2.31373732019547,0.867946469196901,0.942701659787267,"negative"
"418.3411",0.000523966658119658,0.00233579253787879,0.224320717539191,-2.15636522564116,1,1,"negative"
"418.8646",0.000929354303418803,0.00168645656572872,0.551069219513063,-0.859694548548065,0.640428787412791,0.819382233913467,"negative"
"418.9768",0.000108088876068376,0.000608717301190476,0.177568266676477,-2.49355431499581,0.425919074266311,0.675376253477806,"negative"
"419.0231",0.0489875417991453,0.139888668123341,0.350189493232952,-1.51379229577639,0.0429601460284251,0.195701251207195,"negative"
"419.05",4.2743188034188e-05,0.00708003612435065,0.00603714264778674,-7.37191839458927,0.339358654151673,0.60063317395931,"negative"
"419.1329",1.72919487179487e-05,2.63683409090909e-05,0.655784479484905,-0.608706337156276,0.828480690002217,0.942701659787267,"negative"
"419.2549",0.0048147058034188,0.0678402462519481,0.0709712312295822,-3.81662185492339,0.533416513472694,0.732244703331422,"negative"
"419.2671",0.0869937030598291,0.0543786230627706,1.59977759935941,0.677871355985812,0.275757847827509,0.530012193278663,"negative"
"419.2793",0.113018259055556,0.155483226441558,0.726883932383766,-0.460203079494514,0.275757847827509,0.530012193278663,"negative"
"419.2989",0.100129568115385,0.308491759235642,0.324577772720666,-1.6233638882351,0.119470986771701,0.316699961968571,"negative"
"419.3159",0.00706381572222222,0.00956158511038961,0.738770365025218,-0.436802099558705,0.876269663627762,0.942701659787267,"negative"
"419.3282",0.00296241926068376,0.00130572297878788,2.26879614497848,1.18192698633907,0.202694967125598,0.452121712858634,"negative"
"419.9931",0.0014364812991453,0.00295670062914863,0.48583927807359,-1.04144896433864,0.436274928840529,0.675376253477806,"negative"
"420.1449",0.0228202507264957,0.0109422965013709,2.08550835043053,1.06039908882776,0.533416513472694,0.732244703331422,"negative"
"420.2673",0.00788773963675214,0.00565722979469697,1.39427598365299,0.479516157217042,0.349671316331061,0.60063317395931,"negative"
"420.2869",0.000605537854700855,0.00179166908989899,0.337974159466575,-1.56501514848212,0.528852914856611,0.732244703331422,"negative"
"420.2967",0.120230123923077,0.0282764846429293,4.25194734923109,2.08812373245851,0.0605640565520774,0.230167913159534,"negative"
"420.3065",0.00918326117521368,0.0434459318933983,0.211372176289055,-2.24214261301845,0.350201389179296,0.60063317395931,"negative"
"420.3212",0.000689097098290598,0.000290180068181818,2.37472236672999,1.2477588551047,0.0846580414389959,0.266795344444591,"negative"
"420.9296",3.16627777777778e-05,0.00765413535122655,0.00413668903473257,-7.91730777400976,0.0588551150657735,0.230167913159534,"negative"
"421.018",0.029040208042735,0.094873014541811,0.306095555021464,-1.70794600002263,0.0429601460284251,0.195701251207195,"negative"
"421.2293",0.000553200739316239,0.0142193684833333,0.0389047333546952,-4.68391049801016,0.935419097121653,1,"negative"
