"mz","mean_gp4_cribriform","mean_benign_epithelium","fc","log2fc","pvalue","pvalue_adj","mode"
"292.893",0,5.86950116981503e-05,0,-Inf,0.394278927261386,0.533943754981944,"negative"
"292.9415",0.00165085008119658,0.118085614909099,0.013980111654306,-6.16048030671014,0.00783507039261937,0.0441468598220205,"negative"
"293.0128",2.96558461538462e-05,0.00615076645559585,0.00482148791828469,-7.69630585167726,0.0582547310289874,0.133766052192977,"negative"
"293.0428",0.00877914398717949,0.053162012570261,0.165139421228205,-2.59824354082816,0.0150506096345999,0.0554488151119318,"negative"
"293.0556",0.0013453631025641,0.0057548721777923,0.233778103318398,-2.0967882878294,0.11057028638023,0.210664935449065,"negative"
"293.0698",1.91775555555556e-05,0.0116495452481091,0.00164620636661061,-9.24663908290998,0.0345171221620008,0.0930051756556938,"negative"
"293.1383",0.00268001497863248,0.00356478521214604,0.751802652653812,-0.411574089105064,0.859114878892816,0.902296544447324,"negative"
"293.1769",0.448680596239316,7.65180624624182,0.05863721346312,-4.09203964391654,0.00673381491603546,0.0441244721512625,"negative"
"293.2126",0.397121174700855,0.190421993620728,2.08547955595833,1.06037916949777,0.0897446236741638,0.181527767886079,"negative"
"293.2497",0.10504371792735,0.00304243963072422,34.5261469994545,5.10961743820307,0.00358062451946903,0.0441244721512625,"negative"
"293.9793",0.000447845846153846,0.0915564951109574,0.00489146996738026,-7.67551620067824,0.00388932660210315,0.0441244721512625,"negative"
"294.0696",0.0871970208205128,0.0148333614755852,5.87843968907749,2.55543327214471,0.0121664422951553,0.0499305072147699,"negative"
"294.18",0.0421012300940171,1.38888392862356,0.030312993927247,-5.04391983977451,0.00623700745887319,0.0441244721512625,"negative"
"294.2145",0.0585330153418803,0.00866272898173104,6.75687943895296,2.75635711375875,0.0721532356913779,0.154631703464845,"negative"
"294.8037",0,8.47786948810929e-05,0,-Inf,0.310381284509619,0.449252557471625,"negative"
"294.8152",0,6.19719529712712e-06,0,-Inf,0.712280580550384,0.797710552021304,"negative"
"294.8238",2.9449717948718e-05,0.005073255321266,0.00580489569000619,-7.42851414157863,0.0687957481020199,0.149775358569156,"negative"
"294.8411",1.92013333333333e-05,1.54806965761511e-06,12.403403967567,3.63266420043493,0.000749291974259688,0.0441244721512625,"negative"
"294.8469",7.49177777777778e-05,0.0102671843513512,0.00729681821364379,-7.09851677245917,0.00908162246609517,0.0453054506986421,"negative"
"294.9045",4.42484855555555e-06,0.000123380078103859,0.0358635577441507,-4.80133757593417,0.510665253883391,0.637414988693423,"negative"
"294.939",7.75179487179487e-06,0.0115305467020952,0.000672283376675135,-10.5386429025738,0.0120881516651019,0.0499305072147699,"negative"
"294.9823",0.000218746269230769,0.000592379469659489,0.369267134386863,-1.43726322976341,0.373512368609927,0.514323213740201,"negative"
"295.0053",5.28020897435897e-05,0.00916309929912342,0.00576247053752228,-7.43909681534209,0.0172520572424028,0.0598303740701746,"negative"
"295.1177",0.000447878752136752,0.00133096801218352,0.336506022711983,-1.57129576877702,0.310256013649382,0.449252557471625,"negative"
"295.1408",0,9.26653871558816e-05,0,-Inf,0.205852291898666,0.332110789978802,"negative"
"295.1552",0.25918435534188,0.198420623904956,1.30623697396512,0.38541665044548,0.214641194686458,0.342506556730882,"negative"
"295.1826",0.000109031611111111,0.0966144086601956,0.00112852329816134,-9.7913480816442,0.0150174815033362,0.0554488151119318,"negative"
